country, happiness_score, life_expectancy, freedom_of_choices, government_corruption, generosity
Saudi Arabia,6.3439998626709,0.590148329734802,0.449750572443008,0.27343225479126,0.147616013884544
Trinidad and Tobago,6.16800022125244,0.519983291625977,0.518630743026733,0.008964816108346,0.325296461582184
Kuwait,6.10500001907349,0.632105708122253,0.496337592601776,0.215159550309181,0.228289797902107
Slovakia,6.09800004959106,0.712732911109924,0.295817464590073,0.024210851639509,0.136544480919838
Bahrain,6.08699989318848,0.653133034706116,0.536746919155121,0.257042169570923,0.172668486833572
Malaysia,6.08400011062622,0.618784427642822,0.402264982461929,0.065600708127022,0.416608929634094
Nicaragua,6.07100009918213,0.653095960617065,0.447551846504211,0.130687981843948,0.301674216985703
Ecuador,6.00799989700317,0.685636222362518,0.4551981985569,0.140134647488594,0.150112465023994
El Salvador,6.00299978256226,0.596018552780151,0.432452529668808,0.089980959892273,0.078257985413075
Poland,5.97300004959106,0.699475347995758,0.520342111587524,0.059307806193829,0.158465966582298
Uzbekistan,5.97100019454956,0.498272627592087,0.658248662948608,0.246528223156929,0.415983647108078
Italy,5.96400022506714,0.853144347667694,0.256450712680817,0.028028091415763,0.17278964817524
Russia,5.96299982070923,0.547349333763123,0.373783111572266,0.032962881028652,0.05226382240653
Belize,5.95599985122681,0.450191766023636,0.547509372234344,0.096581071615219,0.240015640854836
Japan,5.92000007629395,0.913475871086121,0.505625545978546,0.163760736584663,0.12057276815176
Lithuania,5.90199995040894,0.62894994020462,0.234231784939766,0.011865642853081,0.010164656676352
Algeria,5.87200021743774,0.617584645748138,0.233335807919502,0.146096110343933,0.069436646997929
Latvia,5.84999990463257,0.638566970825195,0.325707912445068,0.073842726647854,0.153074786067009
South Korea,5.83799982070923,0.900214076042175,0.257921665906906,0.063282668590546,0.206674367189407
Moldova,5.83799982070923,0.589465200901031,0.240729048848152,0.010091286152601,0.208779126405716
Romania,5.82499980926514,0.685158312320709,0.457003742456436,0.00438790069893,0.133519917726517
Bolivia,5.82299995422363,0.473630249500275,0.558732926845551,0.06047772616148,0.22556072473526
Turkmenistan,5.82200002670288,0.437726080417633,0.41827192902565,0.259270340204239,0.24992498755455
Kazakhstan,5.81899976730347,0.606041550636292,0.437454283237457,0.119282886385918,0.201964423060417
North Cyprus,5.80999994277954,0.834647238254547,0.471203625202179,0.155353352427483,0.266845703125
Slovenia,5.75799989700317,0.790828227996826,0.572575807571411,0.045128978788853,0.242649093270302
Peru,5.71500015258789,0.630166113376617,0.450002878904343,0.047049086540937,0.126819714903831
Mauritius,5.62900018692017,0.638007462024689,0.491247326135635,0.042181555181742,0.360933750867844
Cyprus,5.62099981307983,0.84471470117569,0.355111539363861,0.041237976402044,0.271254301071167
Estonia,5.61100006103516,0.695168316364288,0.479131430387497,0.183248922228813,0.09889081120491
Belarus,5.56899976730347,0.637714266777039,0.295400261878967,0.156313821673393,0.15513750910759
Libya,5.52500009536743,0.520169019699097,0.465733230113983,0.092610210180283,0.152073666453362
Turkey,5.5,0.637605607509613,0.300740599632263,0.099671579897404,0.046693041920662
Paraguay,5.49300003051758,0.579250693321228,0.473507791757584,0.091065913438797,0.224150657653809
"Hong Kong S.A.R., China",5.47200012207031,0.943062424659729,0.490968644618988,0.293933749198914,0.374465793371201
Philippines,5.42999982833862,0.468009054660797,0.585214674472809,0.099331893026829,0.193513423204422
Serbia,5.39499998092651,0.65078467130661,0.208715528249741,0.040903780609369,0.220125883817673
Jordan,5.33599996566772,0.604590058326721,0.418421149253845,0.11980327218771,0.172170460224152
Hungary,5.32399988174438,0.687763452529907,0.175863519310951,0.036636937409639,0.078401662409306
Jamaica,5.31099987030029,0.641022384166718,0.474307239055634,0.055267781019211,0.233818337321281
Croatia,5.29300022125244,0.701288521289825,0.255772292613983,0.043103110045195,0.248002976179123
Kosovo,5.27899980545044,0.541452050209045,0.260287940502167,0.057471618056297,0.319931447505951
China,5.27299976348877,0.741415500640869,0.472787708044052,0.022794274613261,0.028806841000915
